ano,sigla_uf,id_municipio,id_classe_de,id_classe_para,area,chave,valor_pt,valor_en,chave_1,valor_pt_1,valor_en_1
1997,PB,2516607,15,15,111.699888593991,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
1997,PB,2516607,15,21,1.967543228332518,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1997,PB,2516607,15,25,0.136491618408203,15,3.1. Pastagem,3.1. Pasture,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1997,PB,2516607,21,4,0.2446147899780271,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,4,1.2. Formação Savânica,1.2. Savanna Formation
1997,PB,2516607,21,15,0.0744482935791015,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,15,3.1. Pastagem,3.1. Pasture
1997,PB,2516607,21,21,4.56002237469483,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1997,PB,2516607,24,24,0.4298308421020514,24,4.2. Área Urbanizada,4.2. Urban Area,24,4.2. Área Urbanizada,4.2. Urban Area
1997,PB,2516607,25,4,0.0097479510498047,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,4,1.2. Formação Savânica,1.2. Savanna Formation
1997,PB,2516607,25,15,0.0584965474853515,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,15,3.1. Pastagem,3.1. Pasture
1997,PB,2516607,25,21,0.0062038090209961,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1997,PB,2516607,25,25,2.29370881408691,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1997,PB,2516607,33,4,0.0159546419067383,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",4,1.2. Formação Savânica,1.2. Savanna Formation
1997,PB,2516607,33,33,0.3509550461425779,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean",33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1991,PB,2509701,3,3,0.0619995079956054,3,1.1 Formação Florestal,1.1. Forest Formation,3,1.1 Formação Florestal,1.1. Forest Formation
1991,PB,2509701,4,4,674.5755651112287,4,1.2. Formação Savânica,1.2. Savanna Formation,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2509701,4,15,0.4942211859741212,4,1.2. Formação Savânica,1.2. Savanna Formation,15,3.1. Pastagem,3.1. Pasture
1991,PB,2509701,4,21,9.994812277954102,4,1.2. Formação Savânica,1.2. Savanna Formation,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2509701,4,25,0.0141701094970703,4,1.2. Formação Savânica,1.2. Savanna Formation,25,4.4. Outras Áreas não Vegetadas,4.4. Other non Vegetated Areas
1991,PB,2509701,4,33,0.5057358962402343,4,1.2. Formação Savânica,1.2. Savanna Formation,33,"5.1 Rio, Lago e Oceano","5.1. River, Lake and Ocean"
1991,PB,2509701,12,12,3.499584163146976,12,2.2. Formação Campestre,2.2. Grassland,12,2.2. Formação Campestre,2.2. Grassland
1991,PB,2509701,15,4,0.1709457158203124,15,3.1. Pastagem,3.1. Pasture,4,1.2. Formação Savânica,1.2. Savanna Formation
1991,PB,2509701,15,15,111.6168826055895,15,3.1. Pastagem,3.1. Pasture,15,3.1. Pastagem,3.1. Pasture
1991,PB,2509701,15,21,7.850298421936034,15,3.1. Pastagem,3.1. Pasture,21,3.4. Mosaico de Usos,3.4. Mosaic of Uses
1991,PB,2509701,15,24,0.0186004962158203,15,3.1. Pastagem,3.1. Pasture,24,4.2. Área Urbanizada,4.2. Urban Area
