id_municipio,ano,produto,temp_quantidade_produzida,perm_quantidade_produzida
2509701,2017,Manga,,35
2509701,2008,Coco-da-baía,,120
2509701,2011,Maracujá,,12
2509701,2017,Sisal ou agave (fibra),,35
2509701,2009,Mandioca,360,
2503704,2018,Banana (cacho),,96
2509701,2018,Coco-da-baía,,150
2509701,2018,Laranja,,10
2509701,2016,Milho (em grão),30,
2509701,2016,Batata-doce,40,
2509701,2018,Batata-doce,35,
2509701,2011,Algodão herbáceo (em caroço),7,
2509701,2017,Castanha de caju,,1
2509701,2012,Tomate,270,
2503704,2013,Feijão (em grão),70,
2509701,2019,Feijão (em grão),60,
2503704,2011,Feijão (em grão),560,
2503704,2008,Cana-de-açúcar,200,
2509701,2014,Coco-da-baía,,50
2509701,2019,Limão,,18
2503704,2012,Algodão herbáceo (em caroço),0,
2503704,2010,Coco-da-baía,,510
2503704,2019,Banana (cacho),,120
2503704,2017,Batata-doce,25,
2509701,2018,Limão,,30
2509701,2016,Goiaba,,24
2509701,2016,Manga,,30
2509701,2012,Goiaba,,21
2503704,2017,Cana-de-açúcar,200,
2509701,2014,Tomate,120,
2503704,2017,Feijão (em grão),50,
2509701,2009,Milho (em grão),800,
2503704,2011,Arroz (em casca),153,
2503704,2018,Goiaba,,40
2509701,2015,Coco-da-baía,,100
2503704,2019,Milho (em grão),96,
2503704,2009,Banana (cacho),,500
2503704,2019,Feijão (em grão),44,
2509701,2013,Goiaba,,21
2509701,2016,Feijão (em grão),17,
2503704,2009,Milho (em grão),520,
2509701,2008,Algodão herbáceo (em caroço),8,
2503704,2013,Banana (cacho),,105
2509701,2014,Goiaba,,22
2509701,2012,Milho (em grão),0,
2503704,2009,Arroz (em casca),29,
2509701,2011,Feijão (em grão),300,
2503704,2008,Algodão herbáceo (em caroço),10,
2509701,2009,Manga,,40
2509701,2011,Coco-da-baía,,120
2509701,2015,Sisal ou agave (fibra),,56
2509701,2017,Tomate,1500,
2503704,2018,Feijão (em grão),229,
2509701,2008,Goiaba,,72
2509701,2010,Banana (cacho),,120
2509701,2018,Banana (cacho),,140
2509701,2016,Mamão,,225
2509701,2018,Fava (em grão),1,
2503704,2013,Goiaba,,56
2509701,2016,Melancia,30,
2503704,2015,Cana-de-açúcar,200,
2509701,2015,Feijão (em grão),8,
